meetupid,title,day,month,year,meetupLink,videoLink,place
42,"#42 Remise des prix du Mapathon “Tous (im)mobiles, tous cartographes ?”",2,Nov,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,,"
webinar 
 
"
41,#41 Optimisation des prix : Techniques et Visualisation,15,Oct,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,,"
webinar 
 
"
40,#40 Examen des dataviz à la mode : lesquelles auront la moyenne ?,24,Juin,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,https://www.youtube.com/watch?v=qeFujC52mZQ&t=1s&ab_channel=ToulouseDataViz,"
webinar 
 
"
39,#39 Les Dataviz du Covid-19,28,Mai,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,https://www.youtube.com/watch?v=Uxq7G9UzRYU&ab_channel=ToulouseDataViz,"
webinar 
 
"
38,#38 L’hackaviz 2020 Remise des prix en direct sur Twitch.,26,Mar,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/269529416/,https://www.youtube.com/watch?v=HK91Ss-HssI&ab_channel=ToulouseDataViz,"
Web TV 
 
"
37,#37 Le défi de la visualisation des données météorologiques.,27,Fev,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/268795232/,https://www.youtube.com/watch?v=7MdTe_n6w0M&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
36,"#36 SOIREE EXCEPTIONNELLE AVEC CESAR HIDALGO : Dataviz, IA ET Data Science",5,Feb,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/268218403/,https://www.youtube.com/watch?v=t1T0b6Tj07Q&ab_channel=ToulouseDataViz,"
Harry Cow
13 rue sainte Ursule
Toulouse
"
35,#35 Atelier dataviz.,16,Jan,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/267316120/,,"
Wild Code School
18 place Roguet, 31000 Toulouse (métro St Cyprien)
"
34,#34 Comment Mentir avec des Graphiques? Les dessous de nos médias.,12,Dec,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/266753565/,https://www.youtube.com/watch?v=o_I7tZxkEW8&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
33,"#33 Observablehq, “le notebook magique” de la dataviz",7,Nov,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/265738249/,https://www.youtube.com/watch?v=muijTV1tzcY&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
32,#32 Mobiliscope – la ville à toute heure !,19,Sept,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/264338910/,https://www.youtube.com/watch?v=nMQ_eFfCaFw&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
31,#31 From Data to Viz : Comment choisir la bonne représentation pour ses données ?,13,Juin,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,https://www.youtube.com/watch?v=IKnkU9rFqCE&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
30,#30 L’hackaviz 2019 le retour !,16,Mai,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
29,#29 Remise des prix de l’hackaviz 2019 – Hackaviz party,4,avr,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,,"
Conseil Départemental de la Haute Garonne 
1 Bd de la marquette – Toulouse
Toulouse
"
28,#28 Créer des cartes avec QGIS et des open data.,21,fev,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,https://www.youtube.com/watch?v=6bprnj6Cn3o&t=227s&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
27,#27 Visualisation interactive gratuite pour les réseaux et les matrices de Bertin,10,Jan,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,https://www.youtube.com/watch?v=1evcDAOzWE8&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
26,#26 La dataviz en action,7,Nov,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/255945404/,https://www.youtube.com/watch?v=DRhsLXg_fiQ&t=3s&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
25,#25 La représentation des données en neuroscience cognitive,17,Oct,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/255276950/,,"
Etincelle Coworking (Alsace Lorraine)
36 rue Alsace Lorraine · Toulouse
Toulouse
"
24,#24 lightning talks,5,Jui,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/252022410/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
23,#23 React et d3js,12,Juin,2018,https://www.meetup.com/fr-FR/d3-js-Toulouse/events/250743201/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
22,#22 Data-Driven Storytellling,15,Mai,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/250012578/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
21,#21,21,Mar,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/246640810/,,"
HarryCow
13 rue sainte Ursule
Toulouse
"
20,#20 Faire du d3.js en 2018: quels outils ? quels tutoriels ? … et pourquoi faire ?,28,Fev,2018,https://www.meetup.com/fr-FR/d3-js-Toulouse/events/247745955/,,"
Etincelle Coworking
36 rue Alsace Lorraine · Toulouse
"
19,#19 La data visualisation pour la data science (et les data scientists),16,Jan,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/246640810/,https://www.youtube.com/watch?v=flS31pforxU&ab_channel=ToulouseDataViz,"
Harry Cow
13 rue sainte Ursule
Toulouse
"
18,#18 Histoires de dataviz,12,Dec,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/245529703/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
 
"
17,#17 Initiation au package “Shiny” de R,27,Nov,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/244635458/,https://www.youtube.com/watch?v=IEhE3DPmlfk&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
 
"
16,#16 Data visualisation : témoignage d’entreprises,26,Oct,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/243864744/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
 
"
15,#15 Lightning talks (2),26,Sep,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/243063159/,https://www.youtube.com/watch?v=DoMu8aPV4gA&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
14,#14 La 3D sur le web,29,Juin,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/240732934/,,"
La Cantine
27 rue d’Aubuisson 31000 Toulouse
Toulouse
"
13,#13 La datavisualisation en stimulant l’imagination,13,Juin,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/239533539/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
12,#12 Lightning talks,18,Avr,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/238794499/,https://www.youtube.com/watch?v=NKUPwZw1I3w&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
11,#11 Comment fait-on des cartes?,28,Mars,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/238301970/,,"
Ekito
15 Rue Gabriel Péri, 31000 Toulouse, France · Toulouse
"
10,#10 Cartes et réseaux: Pourquoi et comment les visualiser?,31,Jan,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/236820275/,https://www.youtube.com/watch?v=HWzpY5cOtYI&t=3s&ab_channel=ToulouseDataViz,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
9,#9 Data visualisation : témoignages d’entreprises,15,Dec,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/235819612/,,"
Harry Cow
13 rue sainte Ursule
Toulouse
"
8,#8 Data journalisme,24,Nov,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/234987302/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
7,#7 Visualisation de données et outils de business intelligence,15,Sep,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/232473218/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
6,#6 Techniques interactives d’exploration de grandes quantités de données,31,Mai,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/230636649/,,"
La Cantine
27 rue d’Aubuisson 31000 Toulouse
Toulouse
 
"
5,"#5 Exploration interactives de données avec les librairies d3.js, dc.js et crossfilter.js ",13,Avr,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/229825321/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
4,#4 Data visualisation pour les data sciences : Principes en action !,16,Mars,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/229037863/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
3,#3 La pratique de la visualisation de données !,10,Fev,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/228176843/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
2,#2 Introduction à la librairie d3.js. Exemple de réalisation,12,Jan,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/227206025/,,"
Etincelle Coworking (Wilson)
2 rue d’Austerlitz, Toulouse
Toulouse
Métro Jean Jaurès (ligne A / B)
"
1,#1 Faire connaissance et choisir les thèmes des rencontres,1,Dec,2015,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/226698037/,,"
La Cantine
27 rue d’Aubuisson 31000 Toulouse
Toulouse
 
"
